USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,5.1336,5,5,5,5,5,5
4,3.8079,4,4,3,4,4,4
4,5.1336,5,5,5,5,5,5
2,3.4491,4,3,1,3,5,1
5,4.5584,4,5,4,4,5,4
4,4.1079,4,4,4,4,4,5
5,4.6696,4,4,4,4,5,5
2,1.7496,5,4,4,1,1,4
5,4.8131,5,4,5,4,5,4
5,4.8789,4,4,4,5,5,5
5,4.2719,5,4,4,5,4,4
5,4.6243,5,5,4,4,5,4
4,3.2462,4,4,3,4,3,4
5,4.9565,4,4,5,5,5,4
5,4.6696,4,5,4,4,5,5
5,4.0626,5,4,4,4,4,4
5,4.9565,4,4,5,5,5,4
5,4.8789,4,4,4,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
1,4.7355,5,4,4,4,5,5
5,5.1336,5,5,5,5,5,5
2,2.0505,3,4,1,2,3,1
5,4.9448,5,5,4,5,5,5
5,4.8131,5,4,5,4,5,4
5,4.7677,4,5,4,5,5,4
5,4.6696,4,5,4,4,5,5
5,4.7472,4,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
2,2.8481,4,4,2,3,3,4
5,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,4,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.715,5,5,5,3,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.7355,5,4,4,4,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
2,2.3845,4,4,2,4,2,3
5,4.8336,5,4,4,5,5,4
4,4.8789,4,4,4,5,5,5
5,5.1336,5,5,5,5,5,5
2,2.4281,3,4,3,2,3,1
5,4.1943,5,5,3,5,4,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.5584,4,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
3,3.5986,4,4,3,3,4,4
5,4.9448,5,5,4,5,5,5
5,4.7355,5,5,4,4,5,5
4,4.7224,5,5,4,5,5,3
5,4.5584,4,5,4,4,5,4
2,2.9122,3,4,2,2,4,2
5,5.1336,5,5,5,5,5,5
5,5.0224,5,5,5,5,5,4
2,2.1228,4,4,3,4,1,4
5,4.8336,5,4,4,5,5,4
4,3.6121,5,5,4,4,3,5
4,3.9967,4,4,4,4,4,4
5,4.8131,5,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.7355,5,5,4,4,5,5
5,5.1336,5,5,5,5,5,5
5,4.3831,5,5,4,5,4,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
4,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
4,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
3,2.8598,3,4,3,3,3,3
4,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
4,4.9448,5,5,4,5,5,5
4,3.9967,4,4,4,4,4,4
4,4.3172,4,5,4,5,4,5
4,4.7224,5,5,4,5,5,3
4,4.9448,5,5,4,5,5,5
4,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,4,4,5,5,5
2,2.8733,4,4,4,4,2,4
5,4.7355,5,4,4,4,5,5
5,4.6696,4,5,4,4,5,5
5,4.7472,4,5,5,4,5,4
5,4.7472,4,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
2,2.8733,4,4,4,4,2,4
4,4.7472,4,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.3831,5,4,4,5,4,5
4,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,4.8131,5,4,5,4,5,4
5,4.6243,5,4,4,4,5,4
5,5.1336,5,5,5,5,5,5
5,4.8336,5,4,4,5,5,4
5,4.8789,4,4,4,5,5,5
5,4.8584,4,4,5,4,5,5
5,4.9448,5,5,4,5,5,5
4,4.5584,4,5,4,4,5,4
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.8336,5,4,4,5,5,4
3,3.5009,5,4,4,4,3,4
5,4.9243,5,5,5,4,5,5
4,3.9967,4,5,4,4,4,4
1,1.1173,4,4,1,1,1,4
3,2.5729,3,4,2,2,3,4
4,4.5584,4,4,4,4,5,4
5,4.8131,5,4,5,4,5,4
3,2.971,3,5,3,3,3,4
5,4.8131,5,4,5,4,5,4
5,4.7472,4,4,5,4,5,4
5,5.1336,5,5,5,5,5,5
5,4.8336,5,5,4,5,5,4
5,4.8789,4,4,4,5,5,5
5,4.6696,4,4,4,4,5,5
5,4.7355,5,4,4,4,5,5
5,4.8789,4,4,4,5,5,5
4,4.206,4,4,4,5,4,4
5,4.8336,5,4,4,5,5,4
5,4.2719,5,4,4,5,4,4
5,4.6243,5,4,4,4,5,4
5,4.8789,4,4,4,5,5,5
5,4.8789,4,4,4,5,5,5
5,4.8789,4,4,4,5,5,5
5,4.7355,5,4,4,4,5,5
5,4.6696,4,5,4,4,5,5
5,4.6243,5,5,4,4,5,4
5,4.8131,5,4,5,4,5,4
5,4.8584,4,4,5,4,5,5
3,3.5986,4,4,3,3,4,4
5,4.7355,5,4,4,4,5,5
4,4.0626,5,4,4,4,4,4
5,4.7355,5,4,4,4,5,5
5,4.7472,4,5,5,4,5,4
5,4.8584,4,4,5,4,5,5
4,4.6696,4,4,4,4,5,5
5,4.8336,5,4,4,5,5,4
5,4.6696,4,5,4,4,5,5
5,4.7677,4,4,4,5,5,4
5,4.6243,5,5,4,4,5,4
5,4.8131,5,4,5,4,5,4
5,4.6243,5,4,4,4,5,4
2,3.1733,4,4,5,4,2,5
5,4.7472,4,5,5,4,5,4
5,5.1336,5,5,5,5,5,5
4,3.9191,4,4,3,4,4,5
4,4.9448,5,5,4,5,5,5
4,3.435,4,4,4,4,3,4
4,4.7355,5,5,4,4,5,5
4,4.5584,4,4,4,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.3626,5,5,5,4,4,5
5,4.3626,5,5,5,4,4,5
5,5.1336,5,5,5,5,5,5
4,5.0224,5,4,5,5,5,4
3,3.5986,4,4,3,3,4,4
1,2.4344,1,1,4,5,1,5
5,5.1336,5,5,5,5,5,5
3,3.5533,5,4,3,3,4,3
3,2.3958,2,4,2,2,3,3
4,5.1336,5,5,5,5,5,5
4,4.5584,4,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.5584,4,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.4472,4,5,4,4,5,3
3,3.3893,4,5,3,2,4,4
5,5.1336,5,5,5,5,5,5
4,4.1855,4,4,5,4,4,4
5,4.6696,4,5,4,4,5,5
3,4.0944,3,4,3,3,5,4
5,4.8584,4,4,5,4,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
2,3.5122,3,4,4,2,4,4
5,4.9448,5,4,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
4,3.8079,4,4,3,4,4,4
5,4.756,5,5,3,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.6696,4,5,4,4,5,5
5,5.1336,5,5,5,5,5,5
4,3.9967,4,4,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.6243,5,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.5336,5,5,3,5,5,3
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,4.9448,5,4,4,5,5,5
5,4.9448,5,5,4,5,5,5
5,4.5584,4,4,4,4,5,4
4,3.9967,4,5,4,4,4,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,4,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
1,0.586,1,1,1,1,1,1
5,4.9448,5,5,4,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.6243,5,5,4,4,5,4
5,4.6696,4,4,4,4,5,5
5,4.9448,5,5,4,5,5,5
5,4.6243,5,4,4,4,5,4
2,3.1216,5,4,3,2,4,1
5,4.9448,5,4,4,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
3,2.3888,3,4,4,2,2,4
4,4.5584,4,4,4,4,5,4
5,4.8584,4,4,5,4,5,5
4,3.435,4,4,4,4,3,4
5,4.6696,4,5,4,4,5,5
4,4.6696,4,5,4,4,5,5
5,4.7677,4,5,4,5,5,4
5,4.8789,4,4,4,5,5,5
4,4.1079,4,4,4,4,4,5
1,1.6837,4,5,4,1,1,4
5,4.6696,4,5,4,4,5,5
5,4.5584,4,5,4,4,5,4
4,4.6243,5,4,4,4,5,4
5,4.8131,5,4,5,4,5,4
4,3.7874,4,5,4,3,4,4
5,3.9967,4,4,4,4,4,4
4,4.0626,5,4,4,4,4,4
3,3.2986,4,4,2,3,4,3
5,5.1336,5,5,5,5,5,5
3,3.7098,4,5,3,3,4,5
5,5.0224,5,5,5,5,5,4
4,4.6243,5,4,4,4,5,4
3,3.6967,4,4,3,4,4,3
3,2.2276,4,4,1,2,3,2
4,3.8738,5,3,3,4,4,4
